# ========== OUTPUT ==========
# Cloudlet ID    STATUS    Data center ID    VM ID        Time    Start Time    Finish Time    Submission Time    Processing Cost
    3016        SUCCESS        2            0            0.5        0.1            0.6        0.1        3
    3116        SUCCESS        2            0            0.5        0.1            0.6        0.1        3
    3204        SUCCESS        2            0            0.5        0.1            0.6        0.1        3
    3268        SUCCESS        2            0            0.5        0.1            0.6        0.1        3
    103        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    171        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    307        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    723        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    779        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    931        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    939        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    943        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    1191        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    1299        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    1739        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    1823        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    1991        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    2043        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    2175        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    2251        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    2631        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    2999        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    3119        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    3147        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    3535        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    3559        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    3711        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    3959        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    3987        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    3995        SUCCESS        3            3            0.5        0.1            0.6        0.1        3
    111        SUCCESS        3            3            0.62        0.1            0.72        0.1        3
    203        SUCCESS        3            3            0.62        0.1            0.72        0.1        3
    271        SUCCESS        3            3            0.62        0.1            0.72        0.1        3
    823        SUCCESS        3            3            0.62        0.1            0.72        0.1        3
    935        SUCCESS        3            3            0.62        0.1            0.72        0.1        3
    1023        SUCCESS        3            3            0.62        0.1            0.72        0.1        3
    1199        SUCCESS        3            3            0.62        0.1            0.72        0.1        3
    1207        SUCCESS        3            3            0.62        0.1            0.72        0.1        3
    1403        SUCCESS        3            3            0.62        0.1            0.72        0.1        3
    1431        SUCCESS        3            3            0.62        0.1            0.72        0.1        3
    1567        SUCCESS        3            3            0.62        0.1            0.72        0.1        3
    1583        SUCCESS        3            3            0.62        0.1            0.72        0.1        3
    2011        SUCCESS        3            3            0.62        0.1            0.72        0.1        3
    2343        SUCCESS        3            3            0.62        0.1            0.72        0.1        3
    2571        SUCCESS        3            3            0.62        0.1            0.72        0.1        3
    2883        SUCCESS        3            3            0.62        0.1            0.72        0.1        3
    3023        SUCCESS        3            3            0.62        0.1            0.72        0.1        3
    3359        SUCCESS        3            3            0.62        0.1            0.72        0.1        3
    3695        SUCCESS        3            3            0.62        0.1            0.72        0.1        3
    3859        SUCCESS        3            3            0.62        0.1            0.72        0.1        3
    3871        SUCCESS        3            3            0.62        0.1            0.72        0.1        3
    83        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    123        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    155        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    183        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    391        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    639        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    663        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    971        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    1003        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    1011        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    1219        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    1307        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    1959        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    2035        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    2495        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    2835        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    3355        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    3435        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    3443        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    3451        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    3735        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    3831        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    3863        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    3903        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    3915        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    3951        SUCCESS        3            3            0.75        0.1            0.85        0.1        3
    119        SUCCESS        3            3            0.88        0.1            0.98        0.1        3
    627        SUCCESS        3            3            0.88        0.1            0.98        0.1        3
    659        SUCCESS        3            3            0.88        0.1            0.98        0.1        3
    819        SUCCESS        3            3            0.88        0.1            0.98        0.1        3
